id,first_user_id,second_user_id,status,create_time,update_time
2043642606338904065_2043642606338906001,2043642606338904065,2043642606338906001,FIRST_FOLLOW,2026-02-01 09:07:00,2026-02-01 09:19:00
2043642606338906002_2043642606338904065,2043642606338906002,2043642606338904065,SECOND_FOLLOW,2026-02-01 09:14:00,2026-02-01 09:26:00
2043642606338904065_2043642606338906003,2043642606338904065,2043642606338906003,EACH_FOLLOW,2026-02-01 09:21:00,2026-02-01 09:33:00
2043642606338904065_2043642606338906004,2043642606338904065,2043642606338906004,FIRST_FOLLOW,2026-02-01 09:28:00,2026-02-01 09:40:00
2043642606338906005_2043642606338904065,2043642606338906005,2043642606338904065,SECOND_FOLLOW,2026-02-01 09:35:00,2026-02-01 09:47:00
2043642606338904065_2043642606338906006,2043642606338904065,2043642606338906006,EACH_FOLLOW,2026-02-01 09:42:00,2026-02-01 09:54:00
2043642606338904065_2043642606338906007,2043642606338904065,2043642606338906007,FIRST_FOLLOW,2026-02-01 09:49:00,2026-02-01 10:01:00
2043642606338906008_2043642606338904065,2043642606338906008,2043642606338904065,SECOND_FOLLOW,2026-02-01 09:56:00,2026-02-01 10:08:00
2043642606338904065_2043642606338906009,2043642606338904065,2043642606338906009,EACH_FOLLOW,2026-02-01 10:03:00,2026-02-01 10:15:00
2043642606338904065_2043642606338906010,2043642606338904065,2043642606338906010,FIRST_FOLLOW,2026-02-01 10:10:00,2026-02-01 10:22:00
2043642606338906011_2043642606338904065,2043642606338906011,2043642606338904065,SECOND_FOLLOW,2026-02-01 10:17:00,2026-02-01 10:29:00
2043642606338904065_2043642606338906012,2043642606338904065,2043642606338906012,EACH_FOLLOW,2026-02-01 10:24:00,2026-02-01 10:36:00
2043642606338904065_2043642606338906013,2043642606338904065,2043642606338906013,FIRST_FOLLOW,2026-02-01 10:31:00,2026-02-01 10:43:00
2043642606338906014_2043642606338904065,2043642606338906014,2043642606338904065,SECOND_FOLLOW,2026-02-01 10:38:00,2026-02-01 10:50:00
2043642606338904065_2043642606338906015,2043642606338904065,2043642606338906015,EACH_FOLLOW,2026-02-01 10:45:00,2026-02-01 10:57:00
2043642606338904065_2043642606338906016,2043642606338904065,2043642606338906016,FIRST_FOLLOW,2026-02-01 10:52:00,2026-02-01 11:04:00
2043642606338906017_2043642606338904065,2043642606338906017,2043642606338904065,SECOND_FOLLOW,2026-02-01 10:59:00,2026-02-01 11:11:00
2043642606338904065_2043642606338906018,2043642606338904065,2043642606338906018,EACH_FOLLOW,2026-02-01 11:06:00,2026-02-01 11:18:00
2043642606338904065_2043642606338906019,2043642606338904065,2043642606338906019,FIRST_FOLLOW,2026-02-01 11:13:00,2026-02-01 11:25:00
2043642606338906020_2043642606338904065,2043642606338906020,2043642606338904065,SECOND_FOLLOW,2026-02-01 11:20:00,2026-02-01 11:32:00
2043642606338904065_2043642606338906021,2043642606338904065,2043642606338906021,EACH_FOLLOW,2026-02-01 11:27:00,2026-02-01 11:39:00
2043642606338904065_2043642606338906022,2043642606338904065,2043642606338906022,FIRST_FOLLOW,2026-02-01 11:34:00,2026-02-01 11:46:00
2043642606338906023_2043642606338904065,2043642606338906023,2043642606338904065,SECOND_FOLLOW,2026-02-01 11:41:00,2026-02-01 11:53:00
2043642606338904065_2043642606338906024,2043642606338904065,2043642606338906024,EACH_FOLLOW,2026-02-01 11:48:00,2026-02-01 12:00:00
2043642606338904065_2043642606338906025,2043642606338904065,2043642606338906025,FIRST_FOLLOW,2026-02-01 11:55:00,2026-02-01 12:07:00
2043642606338906026_2043642606338904065,2043642606338906026,2043642606338904065,SECOND_FOLLOW,2026-02-01 12:02:00,2026-02-01 12:14:00
2043642606338904065_2043642606338906027,2043642606338904065,2043642606338906027,EACH_FOLLOW,2026-02-01 12:09:00,2026-02-01 12:21:00
2043642606338904065_2043642606338906028,2043642606338904065,2043642606338906028,FIRST_FOLLOW,2026-02-01 12:16:00,2026-02-01 12:28:00
2043642606338906029_2043642606338904065,2043642606338906029,2043642606338904065,SECOND_FOLLOW,2026-02-01 12:23:00,2026-02-01 12:35:00
2043642606338904065_2043642606338906030,2043642606338904065,2043642606338906030,EACH_FOLLOW,2026-02-01 12:30:00,2026-02-01 12:42:00
2043642606338904065_2043642606338906031,2043642606338904065,2043642606338906031,FIRST_FOLLOW,2026-02-01 12:37:00,2026-02-01 12:49:00
2043642606338906032_2043642606338904065,2043642606338906032,2043642606338904065,SECOND_FOLLOW,2026-02-01 12:44:00,2026-02-01 12:56:00
2043642606338904065_2043642606338906033,2043642606338904065,2043642606338906033,EACH_FOLLOW,2026-02-01 12:51:00,2026-02-01 13:03:00
2043642606338904065_2043642606338906034,2043642606338904065,2043642606338906034,FIRST_FOLLOW,2026-02-01 12:58:00,2026-02-01 13:10:00
2043642606338906035_2043642606338904065,2043642606338906035,2043642606338904065,SECOND_FOLLOW,2026-02-01 13:05:00,2026-02-01 13:17:00
2043642606338904065_2043642606338906036,2043642606338904065,2043642606338906036,EACH_FOLLOW,2026-02-01 13:12:00,2026-02-01 13:24:00
2043642606338904065_2043642606338906037,2043642606338904065,2043642606338906037,FIRST_FOLLOW,2026-02-01 13:19:00,2026-02-01 13:31:00
2043642606338906038_2043642606338904065,2043642606338906038,2043642606338904065,SECOND_FOLLOW,2026-02-01 13:26:00,2026-02-01 13:38:00
2043642606338904065_2043642606338906039,2043642606338904065,2043642606338906039,EACH_FOLLOW,2026-02-01 13:33:00,2026-02-01 13:45:00
2043642606338904065_2043642606338906040,2043642606338904065,2043642606338906040,FIRST_FOLLOW,2026-02-01 13:40:00,2026-02-01 13:52:00
2043642606338906041_2043642606338904065,2043642606338906041,2043642606338904065,SECOND_FOLLOW,2026-02-01 13:47:00,2026-02-01 13:59:00
2043642606338904065_2043642606338906042,2043642606338904065,2043642606338906042,EACH_FOLLOW,2026-02-01 13:54:00,2026-02-01 14:06:00
2043642606338904065_2043642606338906043,2043642606338904065,2043642606338906043,FIRST_FOLLOW,2026-02-01 14:01:00,2026-02-01 14:13:00
2043642606338906044_2043642606338904065,2043642606338906044,2043642606338904065,SECOND_FOLLOW,2026-02-01 14:08:00,2026-02-01 14:20:00
2043642606338904065_2043642606338906045,2043642606338904065,2043642606338906045,EACH_FOLLOW,2026-02-01 14:15:00,2026-02-01 14:27:00
2043642606338904065_2043642606338906046,2043642606338904065,2043642606338906046,FIRST_FOLLOW,2026-02-01 14:22:00,2026-02-01 14:34:00
2043642606338906047_2043642606338904065,2043642606338906047,2043642606338904065,SECOND_FOLLOW,2026-02-01 14:29:00,2026-02-01 14:41:00
2043642606338904065_2043642606338906048,2043642606338904065,2043642606338906048,EACH_FOLLOW,2026-02-01 14:36:00,2026-02-01 14:48:00
2043642606338904065_2043642606338906049,2043642606338904065,2043642606338906049,FIRST_FOLLOW,2026-02-01 14:43:00,2026-02-01 14:55:00
2043642606338906050_2043642606338904065,2043642606338906050,2043642606338904065,SECOND_FOLLOW,2026-02-01 14:50:00,2026-02-01 15:02:00
2043642606338904065_2043642606338906051,2043642606338904065,2043642606338906051,EACH_FOLLOW,2026-02-01 14:57:00,2026-02-01 15:09:00
2043642606338904065_2043642606338906052,2043642606338904065,2043642606338906052,FIRST_FOLLOW,2026-02-01 15:04:00,2026-02-01 15:16:00
2043642606338906053_2043642606338904065,2043642606338906053,2043642606338904065,SECOND_FOLLOW,2026-02-01 15:11:00,2026-02-01 15:23:00
2043642606338904065_2043642606338906054,2043642606338904065,2043642606338906054,EACH_FOLLOW,2026-02-01 15:18:00,2026-02-01 15:30:00
2043642606338904065_2043642606338906055,2043642606338904065,2043642606338906055,FIRST_FOLLOW,2026-02-01 15:25:00,2026-02-01 15:37:00
2043642606338906056_2043642606338904065,2043642606338906056,2043642606338904065,SECOND_FOLLOW,2026-02-01 15:32:00,2026-02-01 15:44:00
2043642606338904065_2043642606338906057,2043642606338904065,2043642606338906057,EACH_FOLLOW,2026-02-01 15:39:00,2026-02-01 15:51:00
2043642606338904065_2043642606338906058,2043642606338904065,2043642606338906058,FIRST_FOLLOW,2026-02-01 15:46:00,2026-02-01 15:58:00
2043642606338906059_2043642606338904065,2043642606338906059,2043642606338904065,SECOND_FOLLOW,2026-02-01 15:53:00,2026-02-01 16:05:00
2043642606338904065_2043642606338906060,2043642606338904065,2043642606338906060,EACH_FOLLOW,2026-02-01 16:00:00,2026-02-01 16:12:00
2043642606338904065_2043642606338906061,2043642606338904065,2043642606338906061,FIRST_FOLLOW,2026-02-01 16:07:00,2026-02-01 16:19:00
2043642606338906062_2043642606338904065,2043642606338906062,2043642606338904065,SECOND_FOLLOW,2026-02-01 16:14:00,2026-02-01 16:26:00
2043642606338904065_2043642606338906063,2043642606338904065,2043642606338906063,EACH_FOLLOW,2026-02-01 16:21:00,2026-02-01 16:33:00
2043642606338904065_2043642606338906064,2043642606338904065,2043642606338906064,FIRST_FOLLOW,2026-02-01 16:28:00,2026-02-01 16:40:00
2043642606338906065_2043642606338904065,2043642606338906065,2043642606338904065,SECOND_FOLLOW,2026-02-01 16:35:00,2026-02-01 16:47:00
