interaction_id,user_id,forum_id,like_status,collect_status,create_time,update_time
2043642606338905000_710000000000000001,2043642606338905000,710000000000000001,true,false,2026-02-01 09:05:00,2026-02-01 09:13:00
2043642606338905001_710000000000000002,2043642606338905001,710000000000000002,true,false,2026-02-01 09:10:00,2026-02-01 09:18:00
2043642606338905002_710000000000000003,2043642606338905002,710000000000000003,true,true,2026-02-01 09:15:00,2026-02-01 09:23:00
2043642606338905003_710000000000000004,2043642606338905003,710000000000000004,false,false,2026-02-01 09:20:00,2026-02-01 09:28:00
2043642606338905004_710000000000000005,2043642606338905004,710000000000000005,true,false,2026-02-01 09:25:00,2026-02-01 09:33:00
2043642606338905005_710000000000000006,2043642606338905005,710000000000000006,true,true,2026-02-01 09:30:00,2026-02-01 09:38:00
2043642606338905006_710000000000000007,2043642606338905006,710000000000000007,true,false,2026-02-01 09:35:00,2026-02-01 09:43:00
2043642606338905007_710000000000000008,2043642606338905007,710000000000000008,false,false,2026-02-01 09:40:00,2026-02-01 09:48:00
2043642606338905008_710000000000000009,2043642606338905008,710000000000000009,true,true,2026-02-01 09:45:00,2026-02-01 09:53:00
2043642606338905009_710000000000000010,2043642606338905009,710000000000000010,true,false,2026-02-01 09:50:00,2026-02-01 09:58:00
2043642606338905010_710000000000000011,2043642606338905010,710000000000000011,true,false,2026-02-01 09:55:00,2026-02-01 10:03:00
2043642606338905011_710000000000000012,2043642606338905011,710000000000000012,false,true,2026-02-01 10:00:00,2026-02-01 10:08:00
2043642606338905012_710000000000000013,2043642606338905012,710000000000000013,true,false,2026-02-01 10:05:00,2026-02-01 10:13:00
2043642606338905013_710000000000000014,2043642606338905013,710000000000000014,true,false,2026-02-01 10:10:00,2026-02-01 10:18:00
2043642606338905014_710000000000000015,2043642606338905014,710000000000000015,true,true,2026-02-01 10:15:00,2026-02-01 10:23:00
2043642606338905015_710000000000000016,2043642606338905015,710000000000000016,false,false,2026-02-01 10:20:00,2026-02-01 10:28:00
2043642606338905016_710000000000000017,2043642606338905016,710000000000000017,true,false,2026-02-01 10:25:00,2026-02-01 10:33:00
2043642606338905017_710000000000000018,2043642606338905017,710000000000000018,true,true,2026-02-01 10:30:00,2026-02-01 10:38:00
2043642606338905018_710000000000000019,2043642606338905018,710000000000000019,true,false,2026-02-01 10:35:00,2026-02-01 10:43:00
2043642606338905019_710000000000000020,2043642606338905019,710000000000000020,false,false,2026-02-01 10:40:00,2026-02-01 10:48:00
2043642606338905020_710000000000000021,2043642606338905020,710000000000000021,true,true,2026-02-01 10:45:00,2026-02-01 10:53:00
2043642606338905021_710000000000000022,2043642606338905021,710000000000000022,true,false,2026-02-01 10:50:00,2026-02-01 10:58:00
2043642606338905022_710000000000000023,2043642606338905022,710000000000000023,true,false,2026-02-01 10:55:00,2026-02-01 11:03:00
2043642606338905023_710000000000000024,2043642606338905023,710000000000000024,false,true,2026-02-01 11:00:00,2026-02-01 11:08:00
2043642606338905024_710000000000000025,2043642606338905024,710000000000000025,true,false,2026-02-01 11:05:00,2026-02-01 11:13:00
2043642606338905025_710000000000000026,2043642606338905025,710000000000000026,true,false,2026-02-01 11:10:00,2026-02-01 11:18:00
2043642606338905026_710000000000000027,2043642606338905026,710000000000000027,true,true,2026-02-01 11:15:00,2026-02-01 11:23:00
2043642606338905027_710000000000000028,2043642606338905027,710000000000000028,false,false,2026-02-01 11:20:00,2026-02-01 11:28:00
2043642606338905028_710000000000000029,2043642606338905028,710000000000000029,true,false,2026-02-01 11:25:00,2026-02-01 11:33:00
2043642606338905029_710000000000000030,2043642606338905029,710000000000000030,true,true,2026-02-01 11:30:00,2026-02-01 11:38:00
2043642606338905030_710000000000000031,2043642606338905030,710000000000000031,true,false,2026-02-01 11:35:00,2026-02-01 11:43:00
2043642606338905031_710000000000000032,2043642606338905031,710000000000000032,false,false,2026-02-01 11:40:00,2026-02-01 11:48:00
2043642606338905032_710000000000000033,2043642606338905032,710000000000000033,true,true,2026-02-01 11:45:00,2026-02-01 11:53:00
2043642606338905033_710000000000000034,2043642606338905033,710000000000000034,true,false,2026-02-01 11:50:00,2026-02-01 11:58:00
2043642606338905034_710000000000000035,2043642606338905034,710000000000000035,true,false,2026-02-01 11:55:00,2026-02-01 12:03:00
2043642606338905035_710000000000000036,2043642606338905035,710000000000000036,false,true,2026-02-01 12:00:00,2026-02-01 12:08:00
2043642606338905036_710000000000000037,2043642606338905036,710000000000000037,true,false,2026-02-01 12:05:00,2026-02-01 12:13:00
2043642606338905037_710000000000000038,2043642606338905037,710000000000000038,true,false,2026-02-01 12:10:00,2026-02-01 12:18:00
2043642606338905038_710000000000000039,2043642606338905038,710000000000000039,true,true,2026-02-01 12:15:00,2026-02-01 12:23:00
2043642606338905039_710000000000000040,2043642606338905039,710000000000000040,false,false,2026-02-01 12:20:00,2026-02-01 12:28:00
2043642606338905040_710000000000000041,2043642606338905040,710000000000000041,true,false,2026-02-01 12:25:00,2026-02-01 12:33:00
2043642606338905041_710000000000000042,2043642606338905041,710000000000000042,true,true,2026-02-01 12:30:00,2026-02-01 12:38:00
2043642606338905042_710000000000000043,2043642606338905042,710000000000000043,true,false,2026-02-01 12:35:00,2026-02-01 12:43:00
2043642606338905043_710000000000000044,2043642606338905043,710000000000000044,false,false,2026-02-01 12:40:00,2026-02-01 12:48:00
2043642606338905044_710000000000000045,2043642606338905044,710000000000000045,true,true,2026-02-01 12:45:00,2026-02-01 12:53:00
2043642606338905045_710000000000000046,2043642606338905045,710000000000000046,true,false,2026-02-01 12:50:00,2026-02-01 12:58:00
2043642606338905046_710000000000000047,2043642606338905046,710000000000000047,true,false,2026-02-01 12:55:00,2026-02-01 13:03:00
2043642606338905047_710000000000000048,2043642606338905047,710000000000000048,false,true,2026-02-01 13:00:00,2026-02-01 13:08:00
2043642606338905048_710000000000000049,2043642606338905048,710000000000000049,true,false,2026-02-01 13:05:00,2026-02-01 13:13:00
2043642606338905049_710000000000000050,2043642606338905049,710000000000000050,true,false,2026-02-01 13:10:00,2026-02-01 13:18:00
2043642606338905050_710000000000000051,2043642606338905050,710000000000000051,true,true,2026-02-01 13:15:00,2026-02-01 13:23:00
2043642606338905051_710000000000000052,2043642606338905051,710000000000000052,false,false,2026-02-01 13:20:00,2026-02-01 13:28:00
2043642606338905052_710000000000000053,2043642606338905052,710000000000000053,true,false,2026-02-01 13:25:00,2026-02-01 13:33:00
2043642606338905053_710000000000000054,2043642606338905053,710000000000000054,true,true,2026-02-01 13:30:00,2026-02-01 13:38:00
2043642606338905054_710000000000000055,2043642606338905054,710000000000000055,true,false,2026-02-01 13:35:00,2026-02-01 13:43:00
2043642606338905055_710000000000000056,2043642606338905055,710000000000000056,false,false,2026-02-01 13:40:00,2026-02-01 13:48:00
2043642606338905056_710000000000000057,2043642606338905056,710000000000000057,true,true,2026-02-01 13:45:00,2026-02-01 13:53:00
2043642606338905057_710000000000000058,2043642606338905057,710000000000000058,true,false,2026-02-01 13:50:00,2026-02-01 13:58:00
2043642606338905058_710000000000000059,2043642606338905058,710000000000000059,true,false,2026-02-01 13:55:00,2026-02-01 14:03:00
2043642606338905059_710000000000000060,2043642606338905059,710000000000000060,false,true,2026-02-01 14:00:00,2026-02-01 14:08:00
2043642606338905060_710000000000000061,2043642606338905060,710000000000000061,true,false,2026-02-01 14:05:00,2026-02-01 14:13:00
2043642606338905061_710000000000000062,2043642606338905061,710000000000000062,true,false,2026-02-01 14:10:00,2026-02-01 14:18:00
2043642606338905062_710000000000000063,2043642606338905062,710000000000000063,true,true,2026-02-01 14:15:00,2026-02-01 14:23:00
2043642606338905063_710000000000000064,2043642606338905063,710000000000000064,false,false,2026-02-01 14:20:00,2026-02-01 14:28:00
