id,forum_id,user_id,parent_id,root_id,reply_to_comment_id,reply_user_name,status,like_count,content,create_time,update_time
1,710000000000000001,2043642606338903500,0,1,0,,1,3,主楼评论A 针对论坛710000000000000001 的看法,2026-02-01 09:01:00,2026-02-01 09:06:00
2,710000000000000001,2043642606338903501,0,2,0,,1,8,主楼评论B 补充论坛710000000000000001 的观点,2026-02-01 09:04:00,2026-02-01 09:10:00
3,710000000000000001,2043642606338903502,1,1,1,用户2043642606338903500,1,13,回复主楼A 提供补充信息,2026-02-01 09:07:00,2026-02-01 09:11:00
4,710000000000000001,2043642606338903503,1,1,3,用户2043642606338903502,1,18,回复楼中楼 继续讨论细节,2026-02-01 09:10:00,2026-02-01 09:14:00
5,710000000000000001,2043642606338903504,2,2,2,用户2043642606338903501,1,23,回复主楼B 给出不同建议,2026-02-01 09:13:00,2026-02-01 09:16:00
6,710000000000000002,2043642606338903505,0,6,0,,1,28,主楼评论A 针对论坛710000000000000002 的看法,2026-02-01 09:16:00,2026-02-01 09:21:00
7,710000000000000002,2043642606338903506,0,7,0,,1,33,主楼评论B 补充论坛710000000000000002 的观点,2026-02-01 09:19:00,2026-02-01 09:25:00
8,710000000000000002,2043642606338903507,6,6,6,用户2043642606338903505,1,38,回复主楼A 提供补充信息,2026-02-01 09:22:00,2026-02-01 09:26:00
9,710000000000000002,2043642606338903508,6,6,8,用户2043642606338903507,1,43,回复楼中楼 继续讨论细节,2026-02-01 09:25:00,2026-02-01 09:29:00
10,710000000000000002,2043642606338903509,7,7,7,用户2043642606338903506,1,48,回复主楼B 给出不同建议,2026-02-01 09:28:00,2026-02-01 09:31:00
11,710000000000000003,2043642606338903510,0,11,0,,1,53,主楼评论A 针对论坛710000000000000003 的看法,2026-02-01 09:31:00,2026-02-01 09:36:00
12,710000000000000003,2043642606338903511,0,12,0,,1,58,主楼评论B 补充论坛710000000000000003 的观点,2026-02-01 09:34:00,2026-02-01 09:40:00
13,710000000000000003,2043642606338903512,11,11,11,用户2043642606338903510,1,63,回复主楼A 提供补充信息,2026-02-01 09:37:00,2026-02-01 09:41:00
14,710000000000000003,2043642606338903513,11,11,13,用户2043642606338903512,1,68,回复楼中楼 继续讨论细节,2026-02-01 09:40:00,2026-02-01 09:44:00
15,710000000000000003,2043642606338903514,12,12,12,用户2043642606338903511,1,73,回复主楼B 给出不同建议,2026-02-01 09:43:00,2026-02-01 09:46:00
16,710000000000000004,2043642606338903515,0,16,0,,1,78,主楼评论A 针对论坛710000000000000004 的看法,2026-02-01 09:46:00,2026-02-01 09:51:00
17,710000000000000004,2043642606338903516,0,17,0,,1,83,主楼评论B 补充论坛710000000000000004 的观点,2026-02-01 09:49:00,2026-02-01 09:55:00
18,710000000000000004,2043642606338903517,16,16,16,用户2043642606338903515,1,88,回复主楼A 提供补充信息,2026-02-01 09:52:00,2026-02-01 09:56:00
19,710000000000000004,2043642606338903518,16,16,18,用户2043642606338903517,1,93,回复楼中楼 继续讨论细节,2026-02-01 09:55:00,2026-02-01 09:59:00
20,710000000000000004,2043642606338903519,17,17,17,用户2043642606338903516,1,98,回复主楼B 给出不同建议,2026-02-01 09:58:00,2026-02-01 10:01:00
21,710000000000000005,2043642606338903520,0,21,0,,1,103,主楼评论A 针对论坛710000000000000005 的看法,2026-02-01 10:01:00,2026-02-01 10:06:00
22,710000000000000005,2043642606338903521,0,22,0,,1,108,主楼评论B 补充论坛710000000000000005 的观点,2026-02-01 10:04:00,2026-02-01 10:10:00
23,710000000000000005,2043642606338903522,21,21,21,用户2043642606338903520,1,113,回复主楼A 提供补充信息,2026-02-01 10:07:00,2026-02-01 10:11:00
24,710000000000000005,2043642606338903523,21,21,23,用户2043642606338903522,1,118,回复楼中楼 继续讨论细节,2026-02-01 10:10:00,2026-02-01 10:14:00
25,710000000000000005,2043642606338903524,22,22,22,用户2043642606338903521,1,3,回复主楼B 给出不同建议,2026-02-01 10:13:00,2026-02-01 10:16:00
26,710000000000000006,2043642606338903525,0,26,0,,1,8,主楼评论A 针对论坛710000000000000006 的看法,2026-02-01 10:16:00,2026-02-01 10:21:00
27,710000000000000006,2043642606338903526,0,27,0,,1,13,主楼评论B 补充论坛710000000000000006 的观点,2026-02-01 10:19:00,2026-02-01 10:25:00
28,710000000000000006,2043642606338903527,26,26,26,用户2043642606338903525,1,18,回复主楼A 提供补充信息,2026-02-01 10:22:00,2026-02-01 10:26:00
29,710000000000000006,2043642606338903528,26,26,28,用户2043642606338903527,1,23,回复楼中楼 继续讨论细节,2026-02-01 10:25:00,2026-02-01 10:29:00
30,710000000000000006,2043642606338903529,27,27,27,用户2043642606338903526,1,28,回复主楼B 给出不同建议,2026-02-01 10:28:00,2026-02-01 10:31:00
31,710000000000000007,2043642606338903530,0,31,0,,1,33,主楼评论A 针对论坛710000000000000007 的看法,2026-02-01 10:31:00,2026-02-01 10:36:00
32,710000000000000007,2043642606338903531,0,32,0,,1,38,主楼评论B 补充论坛710000000000000007 的观点,2026-02-01 10:34:00,2026-02-01 10:40:00
33,710000000000000007,2043642606338903532,31,31,31,用户2043642606338903530,1,43,回复主楼A 提供补充信息,2026-02-01 10:37:00,2026-02-01 10:41:00
34,710000000000000007,2043642606338903533,31,31,33,用户2043642606338903532,1,48,回复楼中楼 继续讨论细节,2026-02-01 10:40:00,2026-02-01 10:44:00
35,710000000000000007,2043642606338903534,32,32,32,用户2043642606338903531,1,53,回复主楼B 给出不同建议,2026-02-01 10:43:00,2026-02-01 10:46:00
36,710000000000000008,2043642606338903535,0,36,0,,1,58,主楼评论A 针对论坛710000000000000008 的看法,2026-02-01 10:46:00,2026-02-01 10:51:00
37,710000000000000008,2043642606338903536,0,37,0,,1,63,主楼评论B 补充论坛710000000000000008 的观点,2026-02-01 10:49:00,2026-02-01 10:55:00
38,710000000000000008,2043642606338903537,36,36,36,用户2043642606338903535,1,68,回复主楼A 提供补充信息,2026-02-01 10:52:00,2026-02-01 10:56:00
